                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.7997,                 1.5897,                 1.6341,                 1.8207,                 2.0429,                 1.5874,                0.57877,                0.51085,                 0.5016,                0.27277,                  1.646,                 2.7331,                 1.6645,                 1.6056,                 3.0317,                 1.6272,              0.0085502,              0.0085502,              0.0085502
                     18,                 1.7557,                 1.5762,                   1.62,                   1.76,                 1.9568,                 1.5961,                0.46759,                 0.4013,                0.50871,                0.27704,                 1.5822,                 2.3455,                 1.6099,                 1.6067,                 2.9886,                  1.612,              0.0083622,              0.0083622,              0.0083622
                     19,                 1.7694,                 1.5774,                 1.5786,                 1.8194,                 1.9576,                 1.5594,                 0.8211,                0.44026,                0.54604,                0.29226,                 1.6104,                 2.5716,                 1.5971,                 1.5434,                 3.2016,                 1.6225,              0.0081651,              0.0081651,              0.0081651
                     20,                 1.7852,                 1.5602,                 1.5817,                 1.7918,                 1.9378,                  1.567,                0.59284,                0.49259,                0.58041,                0.31307,                 1.6841,                 1.6707,                 1.6899,                  1.663,                 2.3538,                 1.6738,              0.0079595,              0.0079595,              0.0079595
                     21,                 1.7669,                 1.5224,                 1.5721,                 1.8696,                 1.9516,                 1.5818,                0.43111,                0.55433,                0.55028,                0.28291,                 1.7803,                 1.6847,                 1.7584,                 1.7424,                 2.0766,                 1.7759,               0.007746,               0.007746,               0.007746
                     22,                 1.7131,                 1.4223,                 1.5427,                 1.7518,                 1.7961,                 1.5378,                0.58769,                0.47408,                0.56805,                0.31843,                 1.6336,                 1.3511,                 1.6014,                 1.5362,                 2.0569,                 1.6075,               0.007525,               0.007525,               0.007525
                     23,                 1.7329,                 1.4213,                 1.5513,                 1.7266,                 1.7913,                 1.5168,                0.55651,                0.64998,                0.66562,                0.34483,                 1.6474,                 1.5462,                 1.5782,                 1.5726,                 2.0873,                 1.6364,              0.0072973,              0.0072973,              0.0072973
                     24,                 1.7683,                 1.4806,                 1.5786,                 1.8125,                 1.8313,                  1.575,                0.41778,                0.59418,                0.56604,                0.30353,                 1.6067,                 1.3992,                 1.5636,                 1.5853,                 1.9067,                 1.6483,              0.0070633,              0.0070633,              0.0070633
                     25,                 1.6962,                 1.3809,                 1.5233,                 1.7307,                 1.7558,                 1.5093,                0.74994,                0.47683,                 0.5871,                0.34027,                 1.6052,                 1.5133,                 1.5684,                 1.5451,                 1.7161,                 1.5794,              0.0068239,              0.0068239,              0.0068239
                     26,                 1.6877,                 1.4033,                 1.5372,                 1.7329,                 1.7567,                 1.5386,                0.46853,                0.66696,                 0.6711,                0.36439,                 1.5943,                 1.3088,                 1.5713,                 1.6275,                 1.6106,                 1.5995,              0.0065796,              0.0065796,              0.0065796
                     27,                  1.716,                 1.3781,                 1.5089,                  1.783,                 1.7621,                 1.4899,                 0.8117,                0.48185,                0.66075,                 0.3377,                 1.6019,                 1.4909,                 1.5534,                 1.6542,                 1.7956,                 1.5853,              0.0063312,              0.0063312,              0.0063312
                     28,                 1.6741,                 1.3777,                 1.5333,                 1.7119,                 1.7914,                 1.5418,                0.49154,                0.62027,                0.65934,                0.38591,                 1.5274,                 1.2928,                 1.5157,                 1.4912,                 1.6224,                 1.5446,              0.0060792,              0.0060792,              0.0060792
                     29,                 1.6465,                 1.3464,                 1.4945,                 1.6933,                 1.6791,                 1.4781,                0.57929,                0.69312,                0.67497,                0.37465,                 1.5496,                 1.3198,                 1.5744,                 1.5214,                 1.8506,                 1.6465,              0.0058244,              0.0058244,              0.0058244
                     30,                 1.6558,                  1.288,                 1.4946,                 1.6745,                 1.6124,                 1.4826,                0.58279,                0.57293,                0.66898,                0.34081,                 1.5983,                 1.4396,                 1.5964,                 1.6052,                 1.9046,                 1.6212,              0.0055674,              0.0055674,              0.0055674
                     31,                 1.6432,                 1.2988,                 1.4808,                 1.6643,                 1.6459,                 1.4707,                0.39224,                0.77407,                0.66647,                0.35429,                 1.6027,                 1.1327,                 1.5802,                 1.5436,                   1.59,                 1.5289,              0.0053091,              0.0053091,              0.0053091
                     32,                 1.6414,                 1.2352,                 1.4645,                  1.692,                 1.6032,                 1.4508,                0.68165,                  0.678,                0.72295,                0.38145,                 1.4811,                 1.1097,                 1.4986,                 1.5162,                 1.5985,                  1.508,                0.00505,                0.00505,                0.00505
                     33,                 1.6183,                 1.2131,                 1.4661,                 1.6772,                 1.5248,                 1.4893,                0.58957,                0.68941,                0.72166,                0.42333,                 1.5183,                 1.1304,                 1.4967,                 1.5032,                 1.4399,                 1.5613,              0.0047909,              0.0047909,              0.0047909
                     34,                 1.6578,                 1.2672,                  1.509,                  1.693,                 1.5963,                 1.5061,                0.51485,                 0.7395,                0.73344,                 0.4252,                 1.5283,                 1.0902,                 1.5074,                 1.5605,                 1.4005,                 1.5132,              0.0045326,              0.0045326,              0.0045326
                     35,                 1.6291,                 1.2042,                 1.4531,                 1.6803,                 1.5176,                 1.4424,                0.60743,                0.64347,                0.68673,                 0.4088,                 1.4613,                 1.0474,                 1.4809,                 1.5362,                 1.3099,                 1.5242,              0.0042756,              0.0042756,              0.0042756
                     36,                 1.5664,                 1.1752,                 1.4475,                 1.6274,                  1.517,                 1.4493,                0.49084,                 0.7416,                0.68498,                0.37692,                 1.5324,                  1.136,                 1.5019,                   1.64,                 1.3789,                 1.5887,              0.0040208,              0.0040208,              0.0040208
                     37,                 1.5841,                 1.1922,                 1.4826,                 1.6251,                 1.5075,                 1.4584,                0.56598,                0.69674,                0.71847,                0.39517,                 1.5117,                 1.0354,                 1.4556,                 1.5826,                 1.2914,                 1.5184,              0.0037688,              0.0037688,              0.0037688
                     38,                 1.5388,                 1.1482,                 1.4111,                  1.585,                 1.4481,                 1.4016,                0.47096,                0.71476,                0.66744,                0.38563,                 1.5562,                 1.0819,                 1.5214,                 1.5302,                 1.4806,                 1.4968,              0.0035204,              0.0035204,              0.0035204
                     39,                 1.5514,                 1.1609,                 1.4235,                  1.585,                 1.4554,                 1.4035,                0.60687,                0.76528,                0.80741,                0.46777,                 1.4662,                 1.0203,                 1.4295,                 1.4131,                 1.4786,                 1.3547,              0.0032761,              0.0032761,              0.0032761
                     40,                  1.602,                 1.1531,                 1.4526,                 1.6462,                 1.4543,                 1.4322,                0.62174,                0.69486,                0.72438,                0.42254,                 1.4643,                0.98333,                 1.4427,                 1.5428,                 1.2527,                 1.4786,              0.0030367,              0.0030367,              0.0030367
                     41,                 1.5809,                 1.1404,                 1.4157,                 1.6243,                  1.415,                 1.4134,                0.66365,                0.67236,                 0.7522,                0.45101,                 1.4464,                0.92877,                 1.4187,                 1.4893,                 1.2649,                 1.4763,              0.0028027,              0.0028027,              0.0028027
                     42,                 1.5372,                 1.0805,                 1.3846,                 1.5983,                 1.3833,                  1.393,                0.49774,                0.86296,                0.80449,                0.47562,                 1.4486,                0.93858,                 1.4422,                 1.4987,                 1.2649,                 1.4927,               0.002575,               0.002575,               0.002575
                     43,                 1.5415,                 1.1056,                 1.4065,                 1.6159,                 1.3762,                 1.3966,                0.58129,                0.82517,                0.78743,                0.47204,                 1.3995,                0.92021,                 1.3999,                 1.4097,                  1.218,                 1.4171,               0.002354,               0.002354,               0.002354
                     44,                 1.5263,                 1.0569,                 1.3838,                 1.5726,                 1.3353,                 1.3816,                0.55681,                0.81989,                0.79159,                0.50346,                 1.3859,                 0.9071,                 1.4006,                 1.3706,                 1.2349,                 1.3746,              0.0021405,              0.0021405,              0.0021405
                     45,                 1.5256,                 1.1066,                 1.4067,                 1.5798,                 1.3757,                 1.3809,                0.68569,                0.72918,                0.78979,                0.47576,                 1.4432,                0.91407,                 1.4288,                 1.4545,                  1.192,                 1.3931,              0.0019349,              0.0019349,              0.0019349
                     46,                 1.4662,                 1.0464,                 1.3647,                 1.5356,                 1.2949,                 1.3665,                0.61558,                0.72503,                0.74445,                0.46938,                 1.3938,                0.91351,                 1.4038,                  1.439,                 1.1965,                 1.3918,              0.0017378,              0.0017378,              0.0017378
                     47,                 1.5137,                  1.026,                 1.3982,                  1.576,                 1.3054,                 1.3967,                0.74228,                0.71849,                 0.7576,                0.47481,                 1.4105,                0.91161,                 1.4209,                 1.4305,                 1.0991,                 1.4243,              0.0015498,              0.0015498,              0.0015498
                     48,                 1.5084,                0.99463,                 1.3778,                 1.5722,                 1.2477,                  1.379,                0.72521,                0.80905,                0.84227,                0.50555,                 1.3634,                0.87882,                 1.3913,                 1.4143,                0.99757,                 1.4426,              0.0013714,              0.0013714,              0.0013714
                     49,                 1.4498,                0.97802,                 1.3484,                 1.5189,                 1.2343,                 1.3546,                0.72157,                0.74258,                0.82167,                0.49639,                 1.3641,                 0.8855,                  1.388,                 1.3838,                 1.0735,                 1.3652,              0.0012031,              0.0012031,              0.0012031
                     50,                 1.4579,                 1.0412,                 1.3551,                 1.5136,                 1.3034,                 1.3545,                0.69702,                0.74387,                0.83095,                0.50223,                 1.4413,                 0.9202,                 1.4088,                 1.4328,                 1.0955,                 1.3722,              0.0010454,              0.0010454,              0.0010454
                     51,                 1.4151,                0.93854,                 1.4065,                 1.4682,                 1.1011,                   1.41,                0.66036,                0.73264,                0.81717,                0.48643,                 1.4339,                0.90611,                 1.4154,                 1.4586,                 1.0883,                  1.379,             0.00089858,             0.00089858,             0.00089858
                     52,                  1.396,                0.89763,                 1.3692,                 1.4777,                 1.0525,                 1.3715,                0.59401,                0.87175,                0.81346,                0.49654,                 1.4031,                 0.8782,                 1.4005,                 1.4809,                  1.097,                 1.4158,             0.00076317,             0.00076317,             0.00076317
                     53,                 1.3904,                0.89253,                 1.3974,                 1.4193,                 1.0743,                 1.3827,                0.59529,                0.82604,                0.80578,                0.49006,                 1.3919,                0.88607,                 1.3936,                 1.4276,                 1.1594,                 1.3871,             0.00063952,             0.00063952,             0.00063952
                     54,                  1.374,                0.86061,                 1.3436,                 1.4461,                 1.0443,                  1.347,                0.63398,                0.78303,                0.82421,                0.50302,                  1.368,                0.87946,                  1.373,                 1.4301,                 1.1393,                 1.3929,             0.00052795,             0.00052795,             0.00052795
                     55,                 1.3633,                0.86289,                  1.364,                 1.3967,                 1.0312,                 1.3595,                0.60356,                0.77928,                 0.8249,                0.50961,                 1.3615,                 0.8998,                 1.3639,                 1.4157,                 1.1782,                 1.3846,             0.00042878,             0.00042878,             0.00042878
                     56,                 1.3425,                0.83521,                 1.3595,                 1.3769,                 1.0216,                 1.3771,                0.64665,                0.78849,                0.82445,                0.51657,                 1.3789,                0.88223,                 1.3657,                 1.3989,                 1.1948,                 1.3612,             0.00034227,             0.00034227,             0.00034227
                     57,                 1.3473,                0.83654,                 1.3562,                 1.4038,                0.98607,                 1.3677,                0.63204,                0.82203,                0.83555,                0.51617,                 1.3957,                 0.8667,                 1.3744,                 1.4065,                 1.1901,                  1.364,             0.00026867,             0.00026867,             0.00026867
                     58,                 1.3281,                 0.8197,                 1.3338,                 1.3762,                0.97736,                 1.3331,                0.60619,                0.82373,                0.84386,                0.51321,                 1.4043,                0.85361,                 1.3815,                 1.4171,                 1.1762,                  1.371,             0.00020817,             0.00020817,             0.00020817
                     59,                 1.3335,                0.82732,                 1.3392,                 1.3802,                0.99286,                 1.3399,                0.60373,                0.81501,                0.83603,                0.50766,                 1.3973,                0.84873,                 1.3815,                 1.4319,                 1.1408,                  1.375,             0.00016094,             0.00016094,             0.00016094
                     60,                 1.3163,                0.81027,                 1.3528,                 1.3571,                0.96099,                 1.3515,                0.61737,                0.82139,                 0.8407,                0.50517,                  1.392,                0.85059,                 1.3794,                 1.4429,                 1.1065,                 1.3768,             0.00012712,             0.00012712,             0.00012712
