                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0502,                 3.8698,                  1.829,                 1.8595,                 4.8553,                  1.611,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.0799,                 23.584,                 27.289,                 3.5626,                 12.653,                 18.046,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.0963,                 2.8655,                 1.8341,                 1.9306,                 3.5158,                 1.6628,                0.33367,                0.03704,                0.00018,                  3e-05,                  3.722,             4.4116e+05,                 4456.4,                 3.2588,              1.745e+06,                 7249.1,               0.070298,              0.0032978,              0.0032978
                      3,                 2.1841,                 2.6197,                 1.8659,                 2.0621,                  3.198,                 1.7883,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.0057,             5.6323e+05,                 7084.6,                  4.313,              5.177e+06,                  14912,               0.054986,              0.0049864,              0.0049864
                      4,                  2.178,                 2.5585,                 1.8853,                 2.1302,                 3.0167,                 1.7363,                0.33367,                0.03704,                0.00018,                  3e-05,                 3.6961,             9.6328e+05,                 1124.4,                 3.9825,             3.3989e+06,                 3188.7,               0.039659,              0.0066592,              0.0066592
                      5,                 2.0917,                 2.3893,                 1.8556,                 2.0786,                 2.8494,                 1.8072,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.6659,                  53837,                  285.9,                 4.0117,             2.7622e+05,                 141.58,               0.024309,              0.0083091,              0.0083091
                      6,                 2.0323,                 2.1716,                 1.8018,                 2.0471,                  2.634,                 1.7916,                0.33333,                0.02778,                0.02801,                0.00561,                 3.5328,                 1540.9,                 12.609,                 3.0197,                 2277.2,                 12.824,              0.0098313,              0.0098313,              0.0098313
                      7,                 2.0085,                 2.1214,                 1.7759,                 2.0533,                 2.6077,                 1.7392,                0.33333,                0.02778,                0.02801,                0.00561,                 3.7207,                 5606.2,                  14.25,                 3.3101,                  22804,                 22.078,              0.0098313,              0.0098313,              0.0098313
                      8,                 1.9559,                 2.0777,                  1.751,                 1.9836,                 2.6166,                 1.7299,                0.33333,                0.02778,                0.02801,                0.00561,                 3.3061,                  550.6,                 4.6176,                   2.98,                   2268,                 6.1558,              0.0097577,              0.0097577,              0.0097577
                      9,                 1.9683,                 1.9147,                 1.7438,                 1.9414,                 2.3962,                 1.6596,                0.48061,                0.05556,                0.08351,                0.02388,                 2.9279,                 321.03,                 3.5516,                 2.6526,                 61.676,                 4.3859,              0.0096712,              0.0096712,              0.0096712
                     10,                 1.9431,                 1.8658,                 1.7433,                 1.9546,                 2.3362,                 1.6758,                 0.2764,                0.28783,                0.06514,                0.02387,                 2.5036,                  226.8,                 3.0407,                 2.2441,                  259.9,                 3.8512,              0.0095721,              0.0095721,              0.0095721
                     11,                  1.953,                 1.8994,                 1.7208,                 1.9571,                 2.3801,                 1.7048,                0.34989,                0.44807,                0.19201,                0.08899,                 2.1539,                 110.81,                 2.3499,                 2.0438,                 68.843,                 2.2101,              0.0094605,              0.0094605,              0.0094605
                     12,                 1.9727,                 1.8078,                 1.7245,                 1.9793,                 2.2917,                 1.7271,                0.27886,                0.25973,                0.24887,                0.14313,                 2.3958,                 236.78,                 2.6356,                 1.9983,                 116.12,                 2.2883,              0.0093368,              0.0093368,              0.0093368
                     13,                 1.8845,                 1.8001,                 1.6812,                 1.9045,                 2.2937,                  1.668,                0.16633,                0.48611,                0.29923,                0.13062,                 1.9494,                 18.537,                 2.0337,                 1.8378,                 12.517,                 1.9754,              0.0092014,              0.0092014,              0.0092014
                     14,                 1.8558,                 1.7549,                 1.6451,                 1.7984,                 2.1802,                 1.5976,                0.39643,                 0.5417,                0.49864,                0.21251,                 1.6701,                 7.3837,                 1.7279,                  1.635,                 6.1207,                 1.8136,              0.0090546,              0.0090546,              0.0090546
                     15,                 1.8204,                 1.6071,                 1.6007,                 1.8832,                 2.0848,                 1.6021,                0.58527,                0.29572,                0.43746,                0.22225,                 1.7715,                 4.8483,                 1.7534,                 1.7129,                 6.1057,                 1.7538,              0.0088969,              0.0088969,              0.0088969
                     16,                 1.8795,                 1.7009,                 1.6643,                 1.8586,                 2.1177,                 1.6064,                0.64061,                0.49294,                0.54349,                0.28137,                 1.6029,                 3.5254,                 1.6777,                 1.6447,                  3.175,                 1.6944,              0.0087286,              0.0087286,              0.0087286
