                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5253,                 1.1846,                 1.4422,                0.58235,                0.72116,                0.78413,                0.42747,                 1.6252,                 1.3218,                  1.688,                 0.0856,                 0.0016,                 0.0016
                      2,                 1.5841,                  1.191,                 1.4776,                0.73635,                0.76474,                0.80677,                0.43538,                 1.6538,                 1.3983,                 1.6869,               0.070137,              0.0031366,              0.0031366
                      3,                 1.6414,                 1.2666,                 1.5067,                0.71615,                0.73965,                0.82472,                0.46804,                 1.5393,                 1.2606,                 1.5441,               0.054505,               0.004505,               0.004505
                      4,                 1.5962,                 1.2697,                 1.4843,                0.74958,                0.76173,                0.84056,                0.49364,                  1.515,                 1.3778,                 1.5639,               0.038705,               0.005705,               0.005705
                      5,                 1.6128,                  1.296,                 1.5192,                0.82518,                0.66689,                0.76079,                0.41998,                 1.6894,                 1.5517,                 1.7322,               0.022737,              0.0067368,              0.0067368
                      6,                   1.65,                 1.3022,                 1.5393,                0.61415,                0.69856,                0.69358,                0.39428,                 1.6899,                 2.0133,                 1.6946,               0.007525,               0.007525,               0.007525
                      7,                 1.6301,                 1.2561,                 1.5221,                0.67699,                0.73951,                0.72539,                0.38781,                 1.6601,                 2.9676,                  1.699,                0.00703,                0.00703,                0.00703
                      8,                 1.5935,                 1.2426,                 1.4836,                0.55963,                0.67422,                0.70863,                0.39434,                 1.6271,                 1.8331,                  1.653,               0.006535,               0.006535,               0.006535
                      9,                  1.571,                 1.2307,                 1.4574,                 0.8536,                0.68629,                0.81958,                0.44719,                 1.5821,                 1.3754,                 1.5909,                0.00604,                0.00604,                0.00604
                     10,                 1.5932,                 1.2389,                  1.501,                0.66481,                0.85963,                0.87891,                0.48169,                 1.4427,                 1.2253,                 1.5183,               0.005545,               0.005545,               0.005545
                     11,                 1.5306,                 1.1116,                 1.5413,                0.64007,                0.78681,                0.80179,                0.45097,                 1.5325,                 1.3958,                 1.5797,                0.00505,                0.00505,                0.00505
                     12,                   1.51,                 1.0965,                 1.4897,                0.81067,                0.88593,                0.90262,                0.51443,                 1.4606,                 1.0721,                 1.5325,               0.004555,               0.004555,               0.004555
                     13,                 1.5044,                 1.0204,                 1.4865,                0.73848,                 0.8469,                0.88478,                0.53068,                 1.4802,                 1.1489,                 1.5407,                0.00406,                0.00406,                0.00406
                     14,                 1.4916,                 1.0039,                 1.4907,                0.83052,                0.83625,                0.87589,                0.48849,                 1.5369,                 1.0683,                 1.5761,               0.003565,               0.003565,               0.003565
                     15,                 1.4132,                0.94111,                 1.4675,                0.79578,                0.83478,                0.87514,                0.48206,                 1.5963,                 1.0682,                 1.6225,                0.00307,                0.00307,                0.00307
                     16,                 1.4255,                0.93058,                 1.4465,                0.89604,                0.81867,                0.93632,                0.55704,                 1.5147,                 1.0008,                 1.5466,               0.002575,               0.002575,               0.002575
                     17,                   1.41,                0.93615,                  1.429,                0.78038,                0.90314,                0.91908,                0.51949,                 1.4998,                0.98928,                  1.536,                0.00208,                0.00208,                0.00208
                     18,                 1.3736,                0.89618,                 1.4145,                0.71983,                 0.9127,                0.89906,                0.52682,                 1.4706,                 1.0132,                 1.5021,               0.001585,               0.001585,               0.001585
                     19,                 1.3325,                0.86305,                 1.4019,                0.76977,                0.89316,                0.90296,                0.53962,                 1.4572,                0.98987,                 1.4837,                0.00109,                0.00109,                0.00109
                     20,                 1.3578,                0.85444,                 1.4058,                0.90653,                0.82032,                0.91959,                0.54044,                 1.4444,                0.93737,                 1.4652,               0.000595,               0.000595,               0.000595
