                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.0773,                 1.9827,                 2.2187,                 2.0611,                 2.3116,                 2.0806,                0.51482,                 0.4964,                0.46422,                0.22434,                 1.9392,                 1.9316,                 2.2572,                 1.9582,                 2.1549,                 2.1628,               0.006281,               0.006281,               0.006281
                     24,                 2.1076,                 2.0404,                 2.2504,                 2.0593,                 2.4679,                 2.0971,                0.63563,                 0.3678,                0.47158,                 0.2252,                 1.9336,                 1.9632,                 2.1846,                 1.9171,                 2.0457,                 2.0774,              0.0059775,              0.0059775,              0.0059775
                     25,                 2.1019,                 1.9743,                 2.2393,                  2.068,                 2.2983,                 2.0708,                0.75364,                 0.4126,                0.43236,                0.18264,                 1.9811,                 7.8015,                 2.2536,                 1.9574,                 3.8981,                 2.1053,              0.0056704,              0.0056704,              0.0056704
                     26,                 2.0955,                 1.9136,                  2.232,                 1.9944,                  2.279,                 2.0438,                0.72824,                0.35762,                0.41608,                0.20972,                 1.9098,                 1.8447,                 2.1737,                  1.823,                 2.1633,                 2.0491,              0.0053608,              0.0053608,              0.0053608
                     27,                 2.0726,                 1.8536,                 2.1434,                 2.0133,                 2.1981,                 1.9484,                0.67593,                0.46827,                0.48176,                 0.2292,                 1.9111,                  1.901,                 2.1366,                 1.7785,                 2.2527,                 1.9745,                0.00505,                0.00505,                0.00505
                     28,                 1.9954,                 1.8561,                 2.1764,                 1.9625,                 2.2419,                 1.9996,                0.74567,                0.42098,                0.52841,                0.24343,                    1.9,                 1.6889,                 2.1556,                 1.8473,                  2.132,                 2.0894,              0.0047392,              0.0047392,              0.0047392
                     29,                 2.0221,                 1.8749,                  2.185,                 1.9891,                 2.1942,                 2.0074,                0.75715,                0.41962,                0.46797,                0.22827,                 1.8913,                 1.7686,                 2.1704,                 1.8409,                 2.1477,                 2.0987,              0.0044296,              0.0044296,              0.0044296
                     30,                 1.9751,                 1.7461,                 2.0913,                 1.9685,                 2.0886,                 1.9964,                0.63266,                0.46887,                0.51208,                 0.2457,                 1.9101,                 1.8389,                 2.1838,                 1.9018,                 2.0726,                 2.0862,              0.0041225,              0.0041225,              0.0041225
                     31,                 2.0143,                   1.81,                 2.1382,                 2.0028,                 2.1013,                 1.9969,                0.76899,                  0.439,                0.53553,                 0.2665,                 1.9418,                 1.6799,                 2.1593,                  1.936,                 1.9981,                   2.08,               0.003819,               0.003819,               0.003819
                     32,                 1.9678,                 1.7439,                 2.0676,                 1.9676,                 2.0692,                 1.9163,                0.57037,                0.55994,                0.51995,                0.24702,                   1.83,                 1.6019,                 2.1039,                 1.8803,                 1.8476,                 2.0394,              0.0035204,              0.0035204,              0.0035204
