                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.023,                0.57833,                 1.1896,                0.94123,                0.93743,                0.97248,                0.62158,                 1.3827,                0.60268,                 1.5625,             0.00018438,             0.00018438,             0.00018438
                     36,                  1.005,                0.56682,                 1.2081,                0.95645,                0.92371,                0.97163,                0.62501,                 1.4029,                0.58647,                 1.5778,              0.0001646,              0.0001646,              0.0001646
                     37,                0.97655,                0.54943,                 1.2027,                0.93868,                0.95076,                0.97139,                0.60586,                  1.453,                0.61303,                 1.6128,             0.00014571,             0.00014571,             0.00014571
                     38,                0.97349,                0.52848,                 1.1666,                0.95238,                0.93805,                0.96873,                0.60731,                 1.4677,                0.60887,                 1.6281,             0.00012777,             0.00012777,             0.00012777
                     39,                0.96619,                0.52611,                 1.1854,                0.95393,                 0.9438,                0.97173,                 0.6179,                 1.4472,                0.59848,                 1.6236,             0.00011086,             0.00011086,             0.00011086
                     40,                  0.977,                0.51794,                 1.1719,                 0.9541,                0.94582,                0.97279,                0.61332,                  1.442,                0.58617,                 1.6313,             9.5045e-05,             9.5045e-05,             9.5045e-05
                     41,                0.93912,                0.47399,                 1.1805,                0.95197,                 0.9435,                0.96956,                0.61484,                  1.442,                0.59412,                 1.6393,             8.0389e-05,             8.0389e-05,             8.0389e-05
                     42,                0.92428,                0.46197,                 1.1726,                0.94075,                0.95059,                0.97131,                0.61615,                 1.4415,                 0.5943,                 1.6426,             6.6947e-05,             6.6947e-05,             6.6947e-05
                     43,                0.87943,                0.44137,                 1.1095,                0.93172,                0.93809,                0.95996,                 0.6115,                 1.4552,                0.59767,                 1.6588,             5.4774e-05,             5.4774e-05,             5.4774e-05
                     44,                0.86082,                0.43273,                 1.1161,                0.93938,                0.94539,                0.96413,                0.62125,                 1.4355,                0.58845,                 1.6557,             4.3918e-05,             4.3918e-05,             4.3918e-05
                     45,                0.86972,                0.42989,                 1.1605,                0.93659,                0.93772,                0.96235,                0.61836,                 1.4297,                0.58681,                  1.654,             3.4421e-05,             3.4421e-05,             3.4421e-05
                     46,                0.85624,                0.42098,                 1.1155,                0.93376,                0.93923,                0.96234,                0.61384,                 1.4348,                0.58123,                 1.6594,             2.6321e-05,             2.6321e-05,             2.6321e-05
                     47,                0.85157,                0.42931,                 1.1502,                0.93244,                0.93933,                0.96148,                0.61269,                  1.436,                0.58596,                 1.6629,             1.9649e-05,             1.9649e-05,             1.9649e-05
                     48,                0.85554,                0.42013,                 1.1225,                0.93195,                 0.9397,                0.95519,                0.61721,                 1.4374,                0.59132,                 1.6643,             1.4432e-05,             1.4432e-05,             1.4432e-05
                     49,                0.85831,                0.41877,                 1.1231,                0.93167,                0.94004,                0.95406,                0.61256,                 1.4344,                0.59078,                 1.6604,             1.0692e-05,             1.0692e-05,             1.0692e-05
                     50,                0.83336,                0.41514,                 1.1137,                0.93218,                0.93963,                0.95117,                0.61728,                 1.4327,                0.59032,                 1.6582,             8.4411e-06,             8.4411e-06,             8.4411e-06
