                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8667,                 4.1429,                 1.6326,                0.00902,                0.54074,                0.15886,                0.08036,                 1.4727,                  3.715,                 1.3285,             0.00012304,             0.00012304,             0.00012304
                      2,                 1.6437,                 3.2541,                 1.4121,                0.01006,                0.69286,                0.28921,                0.17017,                 1.4033,                 3.2891,                 1.1768,             0.00024121,             0.00024121,             0.00024121
                      3,                 1.6245,                  2.432,                 1.3763,                 0.8133,                0.18519,                0.58988,                 0.3815,                 1.3201,                 2.8297,                 1.1837,             0.00034643,             0.00034643,             0.00034643
                      4,                 1.4948,                 2.0448,                 1.2818,                0.94228,                0.32108,                0.62964,                0.37032,                  1.419,                 2.7493,                 1.3026,             0.00043872,             0.00043872,             0.00043872
                      5,                 1.4919,                 1.8494,                 1.2915,                0.84366,                0.51552,                0.72537,                0.45655,                  1.435,                  2.205,                 1.2728,             0.00051806,             0.00051806,             0.00051806
                      6,                 1.4657,                  1.689,                 1.3021,                0.76514,                0.79979,                0.82103,                0.50157,                 1.3983,                 1.7293,                 1.2975,             0.00057867,             0.00057867,             0.00057867
                      7,                  1.443,                 1.5783,                 1.2845,                0.77939,                0.82608,                0.85785,                0.52383,                 1.4348,                 1.6041,                 1.2899,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.3675,                 1.5087,                 1.2368,                0.93445,                0.72373,                0.91996,                0.56943,                 1.3734,                 1.1993,                 1.2693,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.3987,                 1.4131,                 1.2206,                0.89113,                0.88319,                0.93326,                0.53434,                  1.449,                 1.0519,                 1.2923,             0.00046448,             0.00046448,             0.00046448
                     10,                 1.3884,                 1.4324,                 1.2356,                0.84572,                0.87883,                0.91305,                0.58793,                 1.2868,                 1.0347,                 1.2138,             0.00042641,             0.00042641,             0.00042641
                     11,                  1.348,                 1.4796,                 1.2678,                0.88666,                 0.8962,                0.91268,                0.58324,                 1.2812,                  1.009,                 1.1936,             0.00038835,             0.00038835,             0.00038835
                     12,                  1.307,                 1.4168,                  1.187,                0.88081,                0.87603,                0.92352,                0.57275,                 1.3225,                0.95547,                  1.211,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.3084,                 1.3466,                 1.1838,                0.87192,                0.91103,                0.92603,                 0.6183,                 1.2122,                0.88528,                 1.1547,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.2448,                 1.2924,                  1.179,                0.91392,                0.90228,                0.93966,                0.60055,                  1.301,                0.93425,                 1.2023,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.2362,                 1.2363,                 1.1736,                0.90087,                0.89256,                0.94735,                 0.6184,                 1.2736,                0.86293,                 1.2031,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.2268,                 1.1912,                 1.1478,                0.95136,                0.88477,                0.95427,                0.64468,                 1.2108,                0.79046,                 1.1406,             0.00019802,             0.00019802,             0.00019802
                     17,                 1.1891,                 1.1791,                 1.1208,                0.94513,                0.92547,                0.96894,                0.63356,                 1.1912,                0.79714,                 1.1356,             0.00015995,             0.00015995,             0.00015995
                     18,                 1.1747,                 1.1419,                 1.1119,                0.94027,                0.92605,                0.97278,                0.64434,                 1.2099,                0.78237,                 1.1419,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.1531,                 1.1187,                 1.1107,                0.93131,                0.92873,                0.97102,                0.63833,                 1.2237,                0.76583,                 1.1356,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 1.1281,                 1.0907,                 1.1021,                0.95209,                0.90286,                0.97515,                0.63483,                 1.2281,                0.76162,                 1.1354,             4.5756e-05,             4.5756e-05,             4.5756e-05
