                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5041,                 1.0654,                 1.4227,                0.89785,                0.85822,                0.92876,                0.54275,                 1.5097,                0.97862,                 1.5047,              0.0023977,              0.0023977,              0.0023977
                     36,                 1.4817,                 1.0525,                 1.4164,                0.84884,                0.83808,                0.91327,                0.55228,                 1.4548,                0.90828,                  1.477,              0.0021405,              0.0021405,              0.0021405
                     37,                 1.4516,                 1.0609,                 1.4521,                0.87405,                0.80815,                0.88945,                0.53753,                 1.4563,                0.90144,                 1.4773,              0.0018948,              0.0018948,              0.0018948
                     38,                 1.4427,                 1.0463,                 1.3974,                0.75125,                0.89641,                0.89858,                0.52883,                 1.4824,                0.91072,                 1.4739,              0.0016615,              0.0016615,              0.0016615
                     39,                  1.411,                  1.008,                 1.3933,                 0.8778,                0.86014,                 0.9196,                0.57418,                  1.435,                0.88082,                 1.4348,              0.0014416,              0.0014416,              0.0014416
                     40,                 1.4529,                 1.0014,                 1.4061,                0.86518,                0.90015,                0.92325,                0.58332,                 1.4569,                0.86619,                 1.4391,               0.001236,               0.001236,               0.001236
                     41,                 1.4096,                0.95894,                 1.4427,                0.83425,                0.92787,                0.91925,                0.57503,                 1.4562,                0.88588,                  1.444,              0.0010454,              0.0010454,              0.0010454
                     42,                 1.4025,                0.93785,                 1.4518,                0.85993,                0.87111,                0.92074,                0.58543,                 1.4295,                 0.8593,                 1.4337,             0.00087058,             0.00087058,             0.00087058
                     43,                 1.3556,                0.88953,                 1.3943,                0.87691,                 0.8655,                0.92731,                 0.5846,                 1.4285,                 0.8758,                 1.4407,             0.00071228,             0.00071228,             0.00071228
                     44,                 1.3408,                0.87165,                 1.3873,                0.83613,                0.92027,                 0.9344,                0.59221,                 1.4203,                0.84738,                 1.4353,             0.00057111,             0.00057111,             0.00057111
                     45,                 1.3563,                0.88156,                 1.4276,                0.88127,                0.87368,                0.93016,                0.57489,                 1.4226,                0.83739,                 1.4268,             0.00044761,             0.00044761,             0.00044761
                     46,                 1.3304,                0.85529,                 1.3846,                0.85552,                0.89591,                0.92891,                0.57612,                 1.4164,                0.83769,                 1.4224,             0.00034227,             0.00034227,             0.00034227
                     47,                 1.3498,                0.85885,                 1.4126,                0.88691,                0.84413,                0.93312,                 0.5833,                 1.4048,                0.83317,                 1.4177,             0.00025551,             0.00025551,             0.00025551
                     48,                 1.3318,                0.82924,                 1.3771,                0.90223,                0.84347,                0.93276,                0.59469,                 1.3916,                 0.8293,                  1.414,             0.00018768,             0.00018768,             0.00018768
                     49,                 1.3304,                0.83747,                 1.3955,                0.91249,                0.84524,                0.93211,                0.60007,                  1.386,                0.82627,                 1.4089,             0.00013903,             0.00013903,             0.00013903
                     50,                 1.3029,                0.83305,                 1.3637,                0.91421,                0.84664,                0.93196,                0.60164,                 1.3823,                0.82978,                  1.404,             0.00010977,             0.00010977,             0.00010977
